Emotional Content,Recollection Accuracy,Visitor Empathy,Patient Interaction Level,Visitor Frequency,Recognized Visitor,Type of Relation,LDA Topic Relevance,Facial Expressions,Trust Rating
2,5,3,1,1,0,1,1,1,46
3,1,5,4,3,1,2,2,3,82
4,3,5,5,3,0,3,4,5,91
2,5,2,5,2,1,2,5,3,84
3,4,3,3,3,1,2,4,3,80
2,2,3,4,2,1,2,2,4,67
5,5,5,4,2,1,3,5,5,96
1,3,2,3,1,0,1,3,2,55
4,5,5,4,2,1,3,5,4,91
1,1,2,4,1,0,1,3,1,56
5,4,3,5,3,1,3,4,4,93
2,3,4,2,2,0,2,3,3,64
4,1,3,2,1,0,3,1,2,51
5,5,5,5,3,1,3,5,5,100
2,4,3,5,2,0,2,4,4,73
1,2,2,3,1,0,1,2,2,55
3,4,4,3,3,1,2,4,3,86
5,3,5,5,3,1,3,5,4,96
4,5,5,5,2,1,3,5,5,96
3,4,3,4,3,1,2,4,4,82
2,2,2,2,2,1,1,2,2,53
1,2,1,1,4,1,1,1,1,46
5,4,4,5,3,1,3,4,4,93
2,4,2,3,3,0,2,3,3,67
4,2,5,4,3,0,2,3,4,82
5,5,5,4,2,1,3,5,5,96
1,3,3,3,3,1,2,3,3,80
4,3,5,4,3,0,3,4,4,87
3,2,5,4,1,1,3,3,3,82
2,1,1,4,1,1,1,1,1,41
5,5,5,5,3,1,3,5,5,100
2,3,3,2,3,0,2,3,3,67
1,3,2,2,4,0,1,3,2,61
4,4,4,5,2,1,3,4,4,91
5,5,5,5,2,1,3,5,5,96
3,4,5,4,3,1,3,4,4,91
2,3,2,3,3,0,2,3,3,67
4,2,5,5,1,1,2,2,2,67
5,5,5,4,3,1,3,5,5,96
2,4,3,3,2,0,2,4,3,73
3,1,5,3,2,1,2,2,3,77
1,3,4,4,3,0,2,3,4,82
5,5,5,5,3,1,3,5,5,100
4,3,4,4,2,1,3,3,4,82
2,5,3,4,2,0,2,4,4,77
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
4,3,5,4,2,1,1,3,3,79
3,5,3,4,2,1,3,2,4,87
5,1,4,3,3,1,3,4,3,82
2,5,5,4,3,1,2,5,4,98
1,2,4,3,3,1,3,4,3,77
5,5,3,4,2,1,3,2,4,87
4,3,5,4,2,1,1,3,3,79
3,5,3,4,2,1,3,2,4,87
2,4,5,4,3,0,1,2,5,84
4,2,4,3,3,1,2,4,3,78
5,1,4,3,3,1,3,4,3,82
3,5,3,4,2,1,3,2,4,87
1,5,4,3,3,1,3,4,3,82
5,5,3,4,2,1,3,2,4,87
2,4,5,4,3,0,1,2,5,84
4,2,4,3,3,1,2,4,3,78
5,1,4,3,3,1,3,4,3,82
3,5,3,4,2,1,3,2,4,87
1,5,4,3,3,1,3,4,3,82
5,4,3,4,3,1,3,3,4,89
2,4,5,4,3,0,1,2,5,84
4,2,4,3,3,1,2,4,3,78
5,1,4,3,3,1,3,4,3,82
3,5,3,4,2,1,3,2,4,87
1,5,4,3,3,1,3,4,3,82
5,3,3,4,3,1,3,3,4,86
2,5,5,4,3,1,2,5,4,98
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
4,3,5,4,2,1,1,3,3,79
3,5,3,4,2,1,3,2,4,87
5,1,4,3,3,1,3,4,3,82
2,5,5,4,3,1,2,5,4,98
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
4,3,5,4,2,1,1,3,3,79
3,5,3,4,2,1,3,2,4,87
5,1,4,3,3,1,3,4,3,82
2,5,5,4,3,1,2,5,4,98
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
4,3,5,4,2,1,1,3,3,79
3,5,3,4,2,1,3,2,4,87
5,1,4,3,3,1,3,4,3,82
2,5,5,4,3,1,2,5,4,98
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
1,2,4,3,3,1,3,4,4,77
3,4,5,4,2,1,2,3,4,91
2,3,3,2,3,0,2,3,3,66
4,5,4,3,3,0,3,4,4,93
5,5,5,4,3,1,3,5,5,100
3,3,3,2,2,1,2,2,3,66
1,3,4,3,2,1,1,3,2,71
4,4,5,4,2,1,2,4,4,95
3,4,5,4,2,1,2,3,4,91
3,4,3,3,2,0,2,3,4,76
1,2,4,3,3,1,3,4,3,77
1,3,3,2,3,0,1,3,4,67
2,4,5,4,1,0,3,4,4,92
3,4,4,3,2,1,2,4,4,83
4,5,3,4,2,0,3,3,3,81
5,4,2,3,3,0,3,2,4,70
2,3,5,4,2,1,1,3,3,78
3,2,4,5,1,1,2,3,2,73
1,3,2,4,2,1,3,4,3,76
4,4,1,3,2,0,3,2,4,66
3,5,4,4,1,0,3,4,3,84
1,2,4,3,3,1,3,4,2,75
2,1,5,2,3,0,1,2,3,57
4,3,4,5,2,0,2,4,3,77
1,4,3,4,3,1,3,3,2,81
5,3,2,3,2,0,2,3,3,63
3,2,5,3,3,1,1,3,3,74
2,4,4,4,1,0,3,2,3,80
4,5,1,3,2,1,2,3,4,71
5,4,2,3,3,1,3,2,2,72
2,3,5,4,2,1,2,3,2,75
1,3,2,4,2,0,3,3,1,73
4,4,1,3,2,0,3,4,3,70
2,5,4,2,2,0,2,4,2,71
3,2,5,3,3,0,1,3,4,76
5,3,2,3,2,1,2,2,3,67
1,2,4,3,3,0,3,4,3,76
2,1,5,2,3,0,1,2,3,57
4,3,4,5,2,0,2,4,3,77
1,4,3,4,3,0,3,3,3,80
5,3,2,3,2,1,2,3,3,67
3,2,5,3,3,1,1,3,3,74
2,4,4,4,1,1,3,2,3,81
4,5,1,3,2,0,2,3,4,71
5,4,2,3,3,0,3,2,2,72
2,3,5,4,2,0,2,4,2,71
1,3,2,4,2,1,3,4,3,77
4,4,1,3,2,0,3,4,3,70
2,5,4,2,2,0,2,4,2,71
3,2,5,3,3,1,1,3,3,74
5,3,2,3,2,0,2,3,3,67
1,2,4,3,3,1,3,4,3,76
2,1,5,2,3,0,1,2,3,57
4,3,4,5,2,0,2,4,3,77
1,4,3,4,3,1,3,3,2,81
5,3,2,3,2,0,3,2,4,70
2,4,4,4,1,1,3,2,3,81
1,1,2,2,3,1,2,2,3,46
4,2,3,3,3,0,3,3,4,77
2,1,2,2,2,0,2,2,3,38
2,1,1,2,1,1,1,2,2,26
1,0,1,1,1,1,1,1,1,19
2,1,2,2,2,1,2,2,3,42
4,3,5,4,3,1,3,4,5,99
1,2,3,3,3,0,3,3,4,71
1,1,2,2,1,1,1,1,2,21
3,2,4,4,3,1,3,3,5,85
2,2,3,3,2,1,2,3,4,60
2,1,1,1,1,0,1,1,1,15
1,0,1,1,1,0,1,1,1,13
2,1,2,2,2,1,2,2,3,42
3,4,5,4,3,1,3,4,5,99
1,1,1,1,1,0,1,1,2,18
1,0,1,0,0,0,0,0,0,7
2,2,3,3,2,1,2,3,4,60
4,3,5,4,3,1,3,4,5,99
1,2,3,3,2,0,2,3,3,58
2,1,1,1,1,0,1,1,1,15
1,0,1,1,1,1,1,1,2,22
2,1,2,2,2,0,2,2,3,36
3,2,4,4,3,0,3,3,4,76
2,2,3,2,2,0,2,2,3,44
4,3,5,5,4,1,4,5,6,100
1,1,2,1,1,1,1,1,2,24
1,0,1,0,0,0,0,0,0,7
4,3,5,5,4,1,4,5,6,100
1,1,2,1,1,0,1,1,1,19
3,2,4,4,3,1,3,4,5,89
2,2,3,3,2,1,2,3,4,64
2,1,2,2,1,0,1,2,2,28
1,0,1,1,1,0,1,1,1,17
2,1,2,2,2,1,2,2,3,42
3,4,5,4,3,1,3,4,5,99
1,2,3,3,3,1,3,3,4,79
2,1,1,1,1,1,1,1,2,26
1,0,1,1,1,0,1,1,1,19
2,1,2,2,2,0,2,2,3,36
3,2,4,4,3,1,3,3,5,85
2,2,3,3,2,1,2,3,4,64
4,3,5,5,4,1,4,5,6,100
1,1,2,1,1,0,1,1,1,19
1,0,1,0,0,0,0,0,0,7
2,2,3,3,3,1,3,3,5,75
2,1,1,1,1,1,1,1,2,26
3,2,4,4,3,0,3,3,4,76
2,2,3,2,2,0,2,2,3,44
2,1,2,2,1,0,1,2,2,28
1,0,1,1,1,0,1,1,1,17
2,1,2,2,2,1,2,2,3,42
3,4,5,4,3,1,3,4,5,99
1,2,3,3,3,1,3,3,4,79
2,1,1,1,1,0,1,1,1,17
1,0,1,1,1,1,1,1,2,26
2,1,2,2,2,0,2,2,3,36
3,2,4,4,3,1,3,3,5,85
2,2,3,3,2,1,2,3,4,64
4,3,5,5,4,1,4,5,6,100
1,1,2,1,1,1,1,1,2,24
1,0,1,0,0,0,0,0,0,7
